이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,점수,등급
김형동,국민의힘,"환경노동위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회",경북 안동시예천군/경북 안동시예천군,0,0,0,0,0,D
박민규,더불어민주당,"예산결산특별위원회, 기획재정위원회",서울 관악구갑,0,0,0,0,0,D
박상웅,국민의힘,산업통상자원중소벤처기업위원회,경남 밀양시의령군함안군창녕군,0,0,0,0,0,D
박수민,국민의힘,"국회운영위원회, 연금개혁 특별위원회, 행정안전위원회",서울 강남구을,0,0,0,0,0,D
박용갑,더불어민주당,국토교통위원회,대전 중구,0,0,0,0,0,D
박정훈,국민의힘,과학기술정보방송통신위원회,서울 송파구갑,0,0,0,0,0,D
박준태,국민의미래,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",비례대표,0,0,0,0,0,D
박형수,국민의힘,"예산결산특별위원회, 산업통상자원중소벤처기업위원회",경북 영주시영양군봉화군울진군/경북 의성군청송군영덕군울진군,0,0,0,0,0,D
백선희,조국혁신당,"국방위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",비례대표,0,0,0,0,0,D
백승아,더불어민주연합,"교육위원회, 국회운영위원회",비례대표,0,0,0,0,0,D
부승찬,더불어민주당,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",경기 용인시병,0,0,0,0,0,D
서명옥,국민의힘,"보건복지위원회, 여성가족위원회",서울 강남구갑,0,0,0,0,0,D
서삼석,더불어민주당,농림축산식품해양수산위원회,전남 영암군무안군신안군/전남 영암군무안군신안군/전남 영암군무안군신안군,0,0,0,0,0,D
서일준,국민의힘,산업통상자원중소벤처기업위원회,경남 거제시/경남 거제시,0,0,0,0,0,D
안규백,더불어민주당,"윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 기획재정위원회",비례대표/서울 동대문구갑/서울 동대문구갑/서울 동대문구갑/서울 동대문구갑,0,0,0,0,0,D
안상훈,국민의미래,보건복지위원회,비례대표,0,0,0,0,0,D
안태준,더불어민주당,국토교통위원회,경기 광주시을,0,0,0,0,0,D
안호영,더불어민주당,환경노동위원회,전북 완주군진안군무주군장수군/전북 완주군진안군무주군장수군/전북 완주군진안군무주군,0,0,0,0,0,D
양문석,더불어민주당,문화체육관광위원회,경기 안산시갑,0,0,0,0,0,D
우원식,더불어민주당,,서울특별시 노원구을/서울 노원구을/서울 노원구을/서울 노원구을/서울 노원구갑,0,0,0,0,0,D
위성락,더불어민주연합,,비례대표,0,0,0,0,0,D
유영하,국민의힘,"정무위원회, 정보위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",대구 달서구갑,0,0,0,0,0,D
윤건영,더불어민주당,"행정안전위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 정보위원회",서울 구로구을/서울 구로구을,0,0,0,0,0,D
윤재옥,국민의힘,국토교통위원회,대구 달서구을/대구 달서구을/대구 달서구을/대구 달서구을,0,0,0,0,0,D
윤종군,더불어민주당,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",경기 안성시,0,0,0,0,0,D
윤한홍,국민의힘,정무위원회,경남 창원시마산회원구/경남 창원시마산회원구/경남 창원시마산회원구,0,0,0,0,0,D
이강일,더불어민주당,"정무위원회, 예산결산특별위원회",충북 청주시상당구,0,0,0,0,0,D
이기헌,더불어민주당,"정보위원회, 국회운영위원회, 문화체육관광위원회",경기 고양시병,0,0,0,0,0,D
이달희,국민의미래,"행정안전위원회, 여성가족위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회",비례대표,0,0,0,0,0,D
이상식,더불어민주당,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",경기 용인시갑,0,0,0,0,0,D
이언주,더불어민주당,산업통상자원중소벤처기업위원회,경기 광명시을/경기 광명시을/경기 용인시정,0,0,0,0,0,D
이인영,더불어민주당,"정무위원회, 정보위원회",서울특별시 구로구갑/서울 구로구갑/서울 구로구갑/서울 구로구갑/서울 구로구갑,0,0,0,0,0,D
이정헌,더불어민주당,과학기술정보방송통신위원회,서울 광진구갑,0,0,0,0,0,D
이종욱,국민의힘,국토교통위원회,경남 창원시진해구,0,0,0,0,0,D
이주영,개혁신당,보건복지위원회,비례대표,0,0,0,0,0,D
이주희,더불어민주당,"과학기술정보방송통신위원회, 여성가족위원회",비례대표,0,0,0,0,0,D
이준석,개혁신당,과학기술정보방송통신위원회,경기 화성시을,0,0,0,0,0,D
이춘석,더불어민주당,외교통일위원회,전북 익산시갑/전북 익산시갑/전북 익산시갑/전북 익산시갑,0,0,0,0,0,D
인요한,국민의미래,외교통일위원회,비례대표,0,0,0,0,0,D
장동혁,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 산업통상자원중소벤처기업위원회",충남 보령시서천군/충남 보령시서천군,0,0,0,0,0,D
장철민,더불어민주당,"산업통상자원중소벤처기업위원회, 여성가족위원회",대전 동구/대전 동구,0,0,0,0,0,D
전용기,더불어민주당,"국토교통위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회",비례대표/경기 화성시정,0,0,0,0,0,D
전종덕,더불어민주연합,"농림축산식품해양수산위원회, 연금개혁 특별위원회, 예산결산특별위원회",비례대표,0,0,0,0,0,D
조승래,더불어민주당,기획재정위원회,대전 유성구갑/대전 유성구갑/대전 유성구갑,0,0,0,0,0,D
조은희,국민의힘,"여성가족위원회, 기후위기 특별위원회, 문화체육관광위원회, 예산결산특별위원회",서울 서초구갑/서울 서초구갑,0,0,0,0,0,D
주진우,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",부산 해운대구갑,0,0,0,0,0,D
진선미,더불어민주당,교육위원회,비례대표/서울 강동구갑/서울 강동구갑/서울 강동구갑,0,0,0,0,0,D
진종오,국민의미래,문화체육관광위원회,비례대표,0,0,0,0,0,D
차지호,더불어민주당,"외교통일위원회, 기후위기 특별위원회, 예산결산특별위원회",경기 오산시,0,0,0,0,0,D
채현일,더불어민주당,"행정안전위원회, 여성가족위원회, 국회운영위원회",서울 영등포구갑,0,0,0,0,0,D
천하람,개혁신당,"기획재정위원회, 예산결산특별위원회",비례대표,0,0,0,0,0,D
최기상,더불어민주당,"기획재정위원회, 예산결산특별위원회",서울 금천구/서울 금천구,0,0,0,0,0,D
최혁진,더불어민주연합,법제사법위원회,,0,0,0,0,0,D
추미애,더불어민주당,"윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 법제사법위원회",서울 광진구을/서울특별시 광진구을/서울 광진구을/서울 광진구을/서울 광진구을/경기 하남시갑,0,0,0,0,0,D
한지아,국민의미래,"보건복지위원회, 여성가족위원회",비례대표,0,0,0,0,0,D
허성무,더불어민주당,"산업통상자원중소벤처기업위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 산불피해지원대책 특별위원회, 예산결산특별위원회",경남 창원시성산구,0,0,0,0,0,D
황운하,조국혁신당,국토교통위원회,대전 중구/비례대표,0,0,0,0,0,D
황희,더불어민주당,국방위원회,서울 양천구갑/서울 양천구갑/서울 양천구갑,0,0,0,0,0,D
