naas_cd,naas_nm,naas_ch_nm,naas_en_nm,birth_dt,party,district,district_type,committee,belonging_committee,election_type,gender,phone,email,website,office,photo_url,bio
X7I4680R,김기현,金起炫,KIM GIHYEON,1959-02-21,한나라당/한나라당/새누리당/미래통합당/국민의힘,울산 남구을/울산 남구을/울산 남구을/울산 남구을/울산 남구을,지역구/지역구/지역구/지역구/지역구,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회","외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",5선,남,02-784-3874,together.eut@gmail.com,,의원회관 550호,https://www.assembly.go.kr/static/portal/img/openassm/new/57179e16dfac4bfb8ac08d903b93dd39.jpg,"- 부산동고 졸업 - 서울대학교 법학과 졸업 - 서울대학교 대학원 법학과 수료 - 제25회 사법시험 합격 - 제 17, 18, 19, 21, 22대 국회의원 (울산 남구을 / 국민의힘) 현) 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회 위원장 현) 외교통일위원회 위원 전) 국민의힘 당대표 전) 국민의힘 원내대표 전) 국민의힘 당대표 권한대행 전) 울산광역시장 전) 새누리당 원내수석부대표&middot;정책위의장 전) 대구지법&middot;부산법원 울산지원 판사"
IUX1829H,김남근,金南槿,KIM NAMGEUN,1963-08-26,더불어민주당,서울 성북구을,지역구,"정무위원회, 예산결산특별위원회, 국회운영위원회","정무위원회, 예산결산특별위원회, 국회운영위원회",초선,남,02-784-2470,namgeunkim10@gmail.com,https://blog.naver.com/droith9,의원회관 929호,https://www.assembly.go.kr/static/portal/img/openassm/new/66bc8c4d4026465da6cfed67b0fbfe5e.png,■ 학력 서울대학교 법과대학(법학/학사) 고려대학교 대학원(법학/박사) ■ 주요경력 제22대 더불어민주당 성북(을) 국회의원 더불어민주당 민생원내부대표 (전) 더불어민주당 민생연석회의 공동의장 (전) 고려대학교 법학전문대학원 겸임교수 (전) 참여연대 집행위원장 (전) 민주사회를 위한 변호사모임(민변) 부회장 (전) 법무부 정책위원회 위원 (전) 서울시 경제민주화위원회 위원장 (전) 국토교통부 관행혁신위원회 위원장 (전) 중소기업중앙회 공정경제위원회 공동위원장
NXB3178C,김남희,金南希,KIM NAMHEE,1978-02-22,더불어민주당,경기 광명시을,지역구,"보건복지위원회, 여성가족위원회, 연금개혁 특별위원회","보건복지위원회, 여성가족위원회, 연금개혁 특별위원회",초선,여,02-784-6195,knh@na.go.kr,https://blog.naver.com/kimnamhee2027,의원회관 738호,https://www.assembly.go.kr/static/portal/img/openassm/new/42bdeca2bfe9430781fe748ae694988d.jpg,"(현) 제22대 국회의원(더불어민주당, 경기 광명시을) (현) 더불어민주당 경기 광명시을 지역위원장 (현) 국회 보건복지위원회 위원 (현) 국회 여성가족위원회 위원 (현) 국회 연금개혁특별위원회 위원 (현) 이재명 대통령 직속 국정기획위원회 기획위원 (현) 더불어민주당 연금개혁특별위원회 간사 (현) 더불어민주당 경기도당 여성위원장 (현) 국회 한미의원연맹 감사 (전) 21대 대통령선거 더불어민주당 중앙선대위 정책부본부장 (전) 더불어민주당 원내부대표 (전) 더불어민주당 민생경제회복단 위원 (전) 이재명 당대표 복지특별보좌관 (전) 더불어민주당 사법정의실현 및 검찰독재대책위원회 위원 (전) 더불어민주당 중앙당 선거관리위원회 위원 (전) 더불어민주당 조직강화특별위원회 위원 (전) 더불어민주당 혁신위원회 위원, 대변인 (전) 서울대학교 법학전문대학원 임상부교수 (전) 참여연대 복지조세팀장 (전) 법무법인 태평양 변호사 서울대학교 법학과 학사 제42회 사법시험 합격(사법연수원 32기) 미국 템플대학교 대학원 법학석사(미국변호사) (저서) 사회복지법제와실천 (사회평론아카데미, 2025) (공저) 장애, 시설을 나서다 (진실의힘, 2025) (공저) 젊은 변호사의 고백 (다산북스, 2013) 누군가는 나를 바보라 말하겠지만... (이와우, 2013)"
ANS8383S,김대식,金大植,KIM DAISIK,1962-08-11,국민의힘,부산 사상구,지역구,"교육위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회","교육위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 예산결산특별위원회",초선,남,02-784-4195~7,dskimbless@naver.com,https://blog.naver.com/sasang_dskim,의원회관 934호,https://www.assembly.go.kr/static/portal/img/openassm/new/a3a98ad4d2b24e3ba8de8de37631a192.png,□ 경 력 - 現 제22대 국회의원 (부산 사상구/국민의힘) - 現 국민의힘 부산시당 사상구 당협위원장 - 現 국민의힘 국회의원 초선의원 모임 대표 - 前 경남정보대학교 총장 - 前 경남정보대학 일본어학과 교수 - 前 동서대학교 부총장 - 前 동서대학교 일본어학과 교수 - 前 여의도연구원장 (제20대) - 前 국민권익위원회 부위원장 겸 사무처장 (차관급 / 제2대) - 前 민주평화통일자문회의 사무처장 (차관급 / 제15대) - 前 국무총리실 재외동포 정책위원 - 前 제17대 대통령직인수위원회 인수위원 - 前 전국대학교 학생처장협의회 회장 - 前 바른대학교육실천협의회 회장 - 前 대한일어일문학회 회장 - 前 한국일본학연합회 회장 □ 학 력 - 일본 교토 오타니대학 대학원 문학 박사
LH97552Q,김도읍,金度邑,KIM DOEUP,1964-07-06,새누리당/새누리당/미래통합당/국민의힘,부산 북구강서구을/부산 북구강서구을/부산 북구강서구을/부산 강서구,지역구/지역구/지역구/지역구,국토교통위원회,국토교통위원회,4선,남,02-784-1740,ldek3525@naver.com,http://www.kimdoeup.com,의원회관 452호,https://www.assembly.go.kr/static/portal/img/openassm/new/63a47955a6b94df381c8f17c18bc1774.png,"<경력> 2024.08~ 국민의힘 정책위원회 의장 2024.05~ 제22대 국회의원 (부산 강서구/국민의힘) 2024.05~ 제22대 국회 전반기 국토교통위원회 위원 2022.07 제21대 국회 후반기 법제사법위원회 위원장 2020.09~2024.05 제21대 국회의원 (부산 북구강서구을/국민의힘) 2021.11 제20대 대통령선거 국민의힘 윤석열 후보 중앙선거대책위원회 공동선거대책위원장 2021.06 국민의힘 정책위원회 의장 2021.06 제21대 국회 전반기 행정안전위원회 위원 2020.07 제21대 국회 전반기 법제사법위원회 간사 2020.07 제21대 국회 전반기 국회운영위원회 위원 2020.05~2020.09 제21대 국회의원 (부산 북구강서구을/미래통합당) 2020.02~2020.05 제20대 국회의원 (부산 북구강서구을/미래통합당) 2019.08~2019.12 자유한국당 당대표 비서실장 2018.07~2020.05 제20대 국회 후반기 정보위원회 위원 2017.07~2018.06 제20대 국회 전반기 산업통상자원중소벤처기업위원회 위원 2017.06~2018.06 제20대 국회 예산결산특별위원회 간사 2014~2019 아시아송페스티벌 조직위원장 2016.12~2017.07 국회 산업통상자원중소벤처기업위원회 위원 2016.06~2016.12 국회 외교통일위원회 위원 2016.06~2016.12 국회 운영위원회 새누리당 간사 2016.05~2016.12 새누리당 원내수석부대표 2015 국회 서민주거복지특별위원회 위원 2014 국회 예산결산특별위원회 예산안조정소위원 2012 국회 학교폭력대책 특별위원회 위원 2012 새누리당 법률담당 원내부대표 2011 부산광역시 북구다문화지원센터 자문변호사 2011~2012 변호사 김도읍법률사무소 변호사 2010~2011 부산지방검찰청 외사부 부장검사 2006~2009 서울중앙지방검찰청 검사 1993 제35회 사법시험 합격 <학력> 1984.03~1989.02 동아대학교 법학과 1980.03~1983.02 부산동고등학교 <상훈> 2024.10 국회예산정책처 발전 기여 공로패 수상 2024.03 국회의원공약 대상 수상 2023.12 백봉신사상 수상 2022.12 백봉신사상 수상 2022.07 법률소비자연맹 제21대 국회 제2차년도 헌정대상 2021.07 법률소비자연맹 제21대 국회 제1차년도 헌정대상 2020.12 국정감사 NGO 모니터단 국리민복상 2019 대한민국복지문화대상&lsquo;올해의 인물&#39;선정 2019.12 2019 대한민국 모범국회의원대상 2019.12 자유경제입법상 2019.09 2019 자랑스런 대한민국대상 2019.07 2019 국회 헌정대상 2017~2019 법률소비자연맹 총본부 국회의원 헌정대상 2017~2019 국회도서관 이용 최우수 국회의원 2017~2020 JJC지방자치TV 대한민국 의정대상(3회) 2017.03 2016년도 입법 및 정책개발 우수 국회의원 2017.02 국회도서관 이용 최우수 국회의원 2016.12 국정감사 NGO 모니터단 국정감사 우수의원 2016.11 선플재단(전국 청소년 선플 SNS기자단) 선정 국회의원 아름다운 말 선플상 2015.01 부산시민단체(부산시민단체협의회&middot;부산경제살리기시민연대) 선정 지역공헌상 2012~2019 국회 입법 및 정책개발 우수국회의원상(6회) 2012~2015 새누리당 국정감사 우수의원,베스트팀 2012 자랑스러운 동아인상"
MIS62075,김동아,金東我,KIM DONGAH,1987-10-30,더불어민주당,서울 서대문구갑,지역구,산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,초선,남,02-784-2620,dongah1021@gmail.com,https://www.facebook.com/dongahkim1945,의원회관 1021호,https://www.assembly.go.kr/static/portal/img/openassm/new/2aa44f38f64049829c3acf45b19aba20.png,■학력 건국대학교 법과대학 졸업 ■주요경력 제22대 서울 서대문구갑 국회의원 산업통상자원중소벤처기업위원회 위원 더불어민주당 정책위원회 부의장 더불어민주당 정치검찰 사건조작 특별대책단(TF) 위원 전) 법률사무소 온길 대표 변호 전) 법무법인(유한) 태평양 변호사 전) 민주사회를 위한 변호사모임 회원
86R9476S,김문수,金文洙,KIM MOONSOO,1968-10-01,더불어민주당,전남 순천시광양시곡성군구례군갑,지역구,교육위원회,교육위원회,초선,남,02-784-6471,assemblymoonsu@gmail.com,https://blog.naver.com/88moons,의원회관 540호,https://www.assembly.go.kr/static/portal/img/openassm/new/01cf2f6720564fc99c3de46ac3d1e95b.jpg,*학력 -고려대학교 정치외교학 학사 *주요경력 -제22대 국회의원 (전남 순천시광양시곡성군구례군갑) -제22대 국회 더불어민주당 원내부대표 -더민주전국혁신회의 공동상임대표 -제9대 서울특별시의회 전반기 교육위원회 위원장 -더불어민주당 당대표 특별보좌역 -경기신용보증재단 전략상임이사
3BC6890E,김미애,金美愛,KIM MIAE,1969-10-06,미래통합당/국민의힘,부산 해운대구을/부산 해운대구을,지역구/지역구,"보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회","보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회",재선,여,02-784-5680,015miae@naver.com,http://blog.naver.com/015law,의원회관 716호,https://www.assembly.go.kr/static/portal/img/openassm/new/c1a5f2ce1f3c439cbe027e15722925f9.png,동아대학교 법학부 졸업 사법연수원 34기 전) 국민의힘 공약개발본부 행복플러스단 단장 전) 국민의힘 약자와의동행위원회 위원장 전) 국민의힘 비상대책위원회 위원 전) 국민의힘 저출생특별위원회 위원장 전)부산변호사회 수석부회장&middot;인권위원장 전)전국입양가족연대 고문변호사
MLH1404S,김민석,金民錫,KIM MINSEOK,1964-05-29,새정치국민회의/새천년민주당/더불어민주당/더불어민주당,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 영등포구을,지역구/지역구/지역구/지역구,국방위원회,국방위원회,4선,남,02-784-2390,newkms2030@gmail.com,https://blog.naver.com/newmskim2030,의원회관 506호,https://www.assembly.go.kr/static/portal/img/openassm/new/fee10a80d81d435885696adb29a6eb41.jpg,"○ 학력 - 서울대학교 사회학과 졸업 - 하버드대학교 케네디 정치행정대학원 공공행정학 석사 - 칭화대학교 법학석사 - 뉴저지 주립 럿거스 대학교 뉴어크-로스쿨 법학박사 ○ 약력 現) 제22대 국회의원(영등포구을) 現) 제49대 국무총리 前) 더불어민주당 최고위원 前) 더불어민주당 정책위원회 의장 前) 제21대 국회 전반기 보건복지위원회 위원장 前) 더불어민주당 K-뉴딜위원회 사회적뉴딜분과 위원장 前) 더불어민주당 포용국가비전위원회 위원장 前) 더불어민주당 민주연구원 원장 前) 제19대 문재인 대통령후보 종합상황본부장 前) 민주당(현 더불어민주당) 최고위원 前) 김대중 대통령 총재 비서실장 前) 제15,16,21대 국회의원(영등포구을)"
TCP9838Y,김민전,金玟甸,KIM MEENGEON,1965-05-09,국민의미래,비례대표,비례대표,교육위원회,교육위원회,초선,여,02-784-2601,mgk2224@naver.com,http://blog.naver.com/mgk2224,의원회관 634호,https://www.assembly.go.kr/static/portal/img/openassm/new/d856bf1d1b14476f84af3c07c1ea864e.jpg,"[학력] - 미국 아이오와대학교 대학원 정치학 박사 - 서울대학교 대학원 정치학 석사 - 서울대학교 외교학 학사 - 부산 사직여중, 부산 중앙여고 졸업 [경력] (현) 국회 교육위원회 위원 (전) 국민의힘 최고위원 (전) 국민의힘 수석대변인 (전) 대통령직속 국민통합위원회 정치지역분과위원장 (전) 제20대 대통령직속인수위원회 국민통합위원회 정치분과위원 (전) 제20대 대통령선거 국민의힘 선거대책위원회 공동선대위원장 (전) 경희대학교 후마니타스 칼리지 교수 (전) 국회입법조사처 자문위원 (전) 중앙선거관리위원회 자문위원 (전) 한국의회발전연구회 이사 (전) 한국평론학회 이사 (전) 한국정당학회 부회장 (전) 범국민정치개혁협의회 위원 (전) 국회사무처 연수국 교수 (전) 국회사무처 법제예산실 정책조사관"
8Q88373R,김병기,金炳基,KIM BYUNGKEE,1961-07-10,더불어민주당/더불어민주당/더불어민주당,서울 동작구갑/서울 동작구갑/서울 동작구갑,지역구/지역구/지역구,"정보위원회, 국회운영위원회, 국방위원회","정보위원회, 국회운영위원회, 국방위원회",3선,남,02-784-1322,the.kim.weapon@gmail.com,http://blog.naver.com/kim-weapon,의원회관 920호,https://www.assembly.go.kr/static/portal/img/openassm/new/cbfebf9f86b047648b600a3879b7cfd2.png,"건국대학교 안보재난관리학과 국가안보전략 전공(정책학 석사) 경희대학교 국민윤리학과 졸업 중동고등학교 졸업 2024.06.13~ 더불어민주당 원내대표 2016.05. ~ 제20&middot;21&middot;22대 국회의원(서울 동작구갑/더불어민주당) 제22대 국회 운영위원회 위원장(현) 제22대 국회 국방위원회, 정보위원회 위원(현) 제20&middot;21&middot;22대 국회 정보위원회 간사(전) 제20대 국회 국방위원회 위원(전) 제21대 국회 후반기 국토교통위원회 위원(전) 2024.08.~ 더불어민주당 인재위원회 수석부위원장 2024.04. 더불어민주당 22대 국회의원 공직선거후보자추천관리위원회 간사 2023.11. 더불어민주당 22대 국회의원 선거 후보자 검증위원장 2023.11. 더불어민주당 22대 총선기획단 위원 2022.09. 더불어민주당 수석사무부총장 2021.11. 제20대 대통령선거 더불어민주당 이재명 후보 선대위 현안대응 TF 단장 2020.01. 더불어민주당 당대표 특보단장 2018.11. 서울 서남권 민관협의체 의장"
GF286398,김병주,金柄周,KIM BYUNGJOO,1962-02-07,더불어시민당/더불어민주당,비례대표/경기 남양주시을,비례대표/지역구,"국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회","국방위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",재선,남,02-784-4177,kimbyungjoo62@gmail.com,https://bit.ly/3jeADHA,의원회관 447호,https://www.assembly.go.kr/static/portal/img/openassm/new/2863494ebe84423d91ae48f2fb84b94e.png,[ 경력 ] ▶ 제21대(비례)ㆍ22대(경기 남양주시을) 국회의원 ▶ 현) 더불어민주당 최고위원 ▶ 현) 더불어민주당 윤석열정부 독도지우기 진상조사 특별위원장 ㆍ전) 한미연합군사령부 부사령관 (육군대장) ㆍ전) 육군 제3군단장 ㆍ전) 육군 미사일사령관 ㆍ전) 육군 제30기계화보병사단장 ㆍ전) 육군 제2포병여단장 ㆍ전) 국회 국방위원회 간사 ㆍ전) 국회 윤석열정부 내란 혐의 진상규명 국정조사 특별위원회 위원 ㆍ전) 더불어민주당 대변인(국방ㆍ안보) ㆍ전) 더불어민주당 원내부대표 ㆍ전) 더불어민주당 정책위원회 상임부의장 ㆍ전) 더불어민주당 한반도위기관리TF 단장 ㆍ전) 더불어민주당 국방안보특별위원장 [ 학력 ] ▶ 경기대학교 국제정치학 박사 ▶ 전남대학교 경영학 석사 ▶ 육군사관학교 40기 졸업 ▶ 강릉고등학교 졸업 [ 수상내역 ] ㆍ보국훈장 통일장 ㆍ미국 수훈장(Legion of Merit) ㆍ대한불교조계종 불자대상 ㆍ보국훈장 천수장 ㆍ대통령 표창 ㆍ미국 근무공로훈장 (Meritorious Service Medal)
VDN5593C,김상욱,金相旭,KIM SANGWOOK,1980-01-01,국민의힘,울산 남구갑,지역구,"예산결산특별위원회, 외교통일위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회","예산결산특별위원회, 외교통일위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",초선,남,02-784-5705,kimsangwook80@naver.com,https://blog.naver.com/kimsangwook80,의원회관 544호,https://www.assembly.go.kr/static/portal/img/openassm/new/9f4c19508e9b4954a9e69af09737b00c.jpg,"前 국회 여성가족위원회 간사 前 법무법인 더정성 대표변호사 前 한국노총 울산본부 자문변호사 前 울산남구청, 울주군청 자문변호사 前 울산 남부서, 울주서, 중부서, 동부서 직협자문변호사"
1Y73132H,김상훈,金相勳,KIM SANGHOON,1963-01-25,새누리당/새누리당/미래통합당/국민의힘,대구 서구/대구 서구/대구 서구/대구 서구,지역구/지역구/지역구/지역구,정무위원회,정무위원회,4선,남,02-784-2310,kshdg11@gmail.com,http://kimsh.or.kr,의원회관 944호,https://www.assembly.go.kr/static/portal/img/openassm/new/3c232b2892bb448f8d66df3661218621.jpg,대구대건고 졸 영남대학교 법학과 졸 미국 오리건대학교 대학원 행정학 졸 제 33회 행정고시 대구시 일본파견주재관 대구시 경제통상국 국장 국회 한&middot;중정치경제포럼 연구책임의원 국회 산업통상자원위원회 위원 새누리당 원내부대표 국회 정부 및 공공기관 등의 해외자원개발 진상규명을 위한 국정조사특별위원회 위원 국회 정치개혁특별위원회 위원 새누리당 정책위원회 수석부의장 국회 보건복지위원회 간사 가습기살균제 사고 진상규명과 피해구제 및 재발방지를 위한 국정조사특별위원회 간사 자유한국당 대구시당 위원장 자유한국당 지방자치발전특별위원회 부위원장 국회 국토교통위원회 위원 국민의힘 중앙선거대책위원회 직능총괄본부장
ZYP7962W,김석기,金碩基,KIM SEOKKI,1954-08-06,새누리당/미래통합당/국민의힘,경북 경주시/경북 경주시/경북 경주시,지역구/지역구/지역구,외교통일위원회,외교통일위원회,3선,남,02-784-4170,7882576kj@hanmail.net,http://blog.naver.com/podoriksk,의원회관 1010호,https://www.assembly.go.kr/static/portal/img/openassm/new/e5a17e900d0e433bb13e351466729064.jpg,"◆학력 &middot;계림초등학교 졸업 &middot;경주중학교 졸업 &middot;대륜고등학교 졸업 &middot;영남대학교 행정학과 졸업 &middot;동국대학교 행정대학원 석사 졸업 &middot;용인대학교 정치학 명예박사 ◆경력 &middot;국민의힘 최고위원(전) &middot;국회 한일의원연맹 부회장(현) &middot;국민의힘 재외동포위원장(현) &middot;제21대 국회 외교통일위원회 위원(현) &middot;제20 &middot; 21대 국회의원(현) &middot;제21대 국회 외교통일위원회 간사(전) &middot;국민의힘 비상대책위원회 사무총장(전) &middot;국민의힘 선거관리위원회 부위원장(전) &middot;국민의힘 제4정책조정위원회 위원장(현) &middot;국회 한일의원연맹 간사장(전) &middot;국민의힘 조직부총장(전) &middot;제20대 국회 예산결산특별위원회 위원(전) &middot;제20대 국회 국토교통위원회 위원(전) &middot;국회 한일의원연맹 상임간사(전) &middot;미래통합당 지방자치위원회 위원장(전) &middot;자유한국당 비상대책위원회 전략기획부총장(전) &middot;자유한국당 경북도당 위원장(전) &middot;자유한국당 정책위원회 부의장(전) &middot;자유한국당 국가안보특별위원회 부위원장(전) &middot;자유한국당 경북도당 윤리위원장(전) &middot;자유한국당 중앙연수원장(전) &middot;자유한국당 경북도당 수석부위원장(전) &middot;한국공항공사 사장(전) &middot;주 오사카 총영사관 총영사(전) &middot;서울지방경찰청 청장(전) &middot;경북,대구지방경찰청 청장(전)"
JNL7001A,김선교,金善敎,KIM SUNGYO,1960-09-18,미래통합당/국민의힘,경기 여주시양평군/경기 여주시양평군,지역구/지역구,농림축산식품해양수산위원회,농림축산식품해양수산위원회,재선,남,02-784-2491,kimsg5358@naver.com,,의원회관 916호,https://www.assembly.go.kr/static/portal/img/openassm/new/c46ff6eaebc3441393b42d4e36d7a8c6.jpg,제21대 국회의원(경기 여주시양평군/국민의힘) 제21대 국회 전반기 농림축산식품해양수산위원회 위원 국민의힘 경기도당위원장 한국-자메이카 의원친선협회 회장 한미의원연맹 회원 한일의원연맹 회원 전)경기도 양평군수(3선) 전)전국청년시장군수구청장협의회 회장 전)경기도동부권시장군수협의회 회장
7GW5372Y,김선민,金宣旼,KIM SUNMIN,1964-05-24,조국혁신당,비례대표,비례대표,보건복지위원회,보건복지위원회,초선,여,02-784-4591,22.ksunmin@gmail.com,https://blog.naver.com/sunmean,의원회관 551호,https://www.assembly.go.kr/static/portal/img/openassm/new/ae483328582e4add9e57312dfdd896a0.jpg,"- 현) 조국혁신당 당대표 권한대행 - 현) 제22대 국회의원 - 현) 국회 보건복지위원회 위원 - 현) 국회 여성가족위원회 위원 - 근로복지공단 태백병원 직업환경의학과장 - 제10대 건강보험심사평가원 원장 - 건강보험심사평가원 기획이사 - 세계보건기구 WHO 수석기술관 - 건강보험심사평가원 상근평가위원 - 국가인권위원회 설립준비기획단원, 사무처준비단원, 인권연구담당관 - 한국보건산업진흥원 수석연구원 - 한림대학교 의과대학 조교수 - 서울대학교병원 가정의학과 전공의 - 서울대학교 의과대학 예방의학교실 전공의 - 서울대학교병원 인턴 - 정의여자고등학교 (졸업)"
9D939735,김성원,金成願,KIM SUNGWON,1973-10-15,새누리당/미래통합당/국민의힘,경기 동두천시연천군/경기 동두천시연천군/경기 동두천시양주시연천구을,지역구/지역구/지역구,산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,3선,남,02-784-6566,kimsw910@naver.com,https://blog.naver.com/v0413ksw,의원회관 910호,https://www.assembly.go.kr/static/portal/img/openassm/new/0883fdfd169248c19f2311f26e1c2577.jpg,- 학력 - 고려대학교 대학원 공학박사 - 경력 - 제 20 &middot; 21 &middot; 22대 국회의원 (경기 동두천시양주시연천군을/국민의힘) 국회 산업통상자원중소벤처기업 위원(현) 국회 한&middot;필리핀 의원친선협회 회장(현) 국회 한중의원연맹 수석부회장(현) 여의도연구원장 국민의힘 원내수석부대표 국민의힘 경기도당위원장 국민의힘 중앙위원회 수석부의장 국회 산업통상자원중소벤처기업 간사 국회 예산결산특별위원회 간사 국회 운영위원회 간사 국회 윤리위원회 간사 국회 정무위원회 위원 국회 환경노동위원회 위원 국회 여성가족위원회 위원 국회 정치개혁특별위원회 위원 국회 첨단전략산업특별위원회 위원 국회 남북경협특별위원회 위원 국회 남북관계개선특별위원회 위원 국회 가습기살균제 사고 진상규명과 피해규제 및 재발방지 대책마련을 위한 국정조사특별위원회 위원 국민의힘 격차해소특별위원회 부위원장 국민의힘 과학기술특별위원회 위원 국민의힘 문화유산진흥특별위원회 경기인천위원장 국민의힘 국민통합위원회 부위원장 미래통합당 대변인 미래통합당 통일위원회 위원장 미래통합당 경기도당 수석 부위원장 자유한국당 경기도당 조직본부 북부권 본부장 자유한국당 신정치혁신특별위원회 위원 자유한국당 소상공인살리기경제특별위원회 위원 자유한국당 2020 경제대전환위원회 위원 자유한국당 디지털정당위원회 부위원장 자유한국당 조직부총장 자유한국당 원내대변인 자유한국당 청년소통특별위원회 위원장 자유한국당 조직강화특별위원회 위원 자유한국당 경기도당 윤리위원회 위원장 새누리당 원내부대표 고려대학교 연구교수
XSP20229,김성환,金星煥,KIM SUNGWHAN,1965-10-15,더불어민주당/더불어민주당/더불어민주당,서울 노원구병/서울 노원구병/서울 노원구을,지역구/지역구/지역구,산업통상자원중소벤처기업위원회,산업통상자원중소벤처기업위원회,3선,남,02-784-6271,kimnowongu@gmail.com,https://blog.naver.com/human-nowon,의원회관 504호,https://www.assembly.go.kr/static/portal/img/openassm/new/6785f4855ad44486979a01c25c6939ca.jpg,1995.07 ~ 1998.07 노원구의원 1998.07 ~ 2002.06 서울시의원 2003.04 ~ 2006.08 노무현대통령 청와대 정책실 행정관 2006.08 ~ 2007.09 노무현대통령 청와대 정책조정비서관 2008.09 ~ 2010.02 한국미래발전연구원 기획실장 2010.07 ~ 2014.06 민선5기 노원구청장 2014.07 ~ 2018.02 민선6기 노원구청장 2018.06 ~ 2020.05 20대 국회의원 2020.05 ~ 2024.05 21대 국회의원
88O1334C,김성회,金城會,KIM SUNGHOI,1972-11-20,더불어민주당,경기 고양시갑,지역구,"행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 예산결산특별위원회, 기후위기 특별위원회","행정안전위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 예산결산특별위원회, 기후위기 특별위원회",초선,남,02-784-3870,kshoi72@naver.com,https://blog.naver.com/kshoi72,의원회관 715호,https://www.assembly.go.kr/static/portal/img/openassm/new/b263e390ed2a4a4ea6e789d7447c6093.jpg,서울 출생 경기고등학교 졸업 고려대학교 이과대학 지구환경과학과 졸업 제22대 국회의원 (경기 고양갑) 기후위기특별위원회 위원 더불어민주당 게임특별위원회 위원장 더불어민주당 세계한인민주회의 부의장 더불어민주당 대변인(전) 더불어민주당 원내부대표 (전) 더불어민주당 헌법개정특별위원회 위원 (전) 제28대 고려대학교 총학생회 부회장(전)
1SR94244,김소희,金素熙,KIM SOHEE,1973-09-16,국민의미래,비례대표,비례대표,"환경노동위원회, 기후위기 특별위원회","환경노동위원회, 기후위기 특별위원회",초선,여,02-784-2374,shkay73@naver.com,,의원회관 435호,https://www.assembly.go.kr/static/portal/img/openassm/new/83b1ec78867e41e39d20d41d3a796f83.png,ㅇ학력사항 - 서울대학교 농생명과학대학원 경제학 박사 수료 - 영국 소아스런던대학교 개발학 석사 - 덕성여자대학교 인문과학대학 영어영문학 학사 ㅇ주요경력 -&nbsp;現) 여의도연구원 부원장 -&nbsp;現) 국민의힘 노동전환특별위원회 위원 -&nbsp;現) 국민의힘 격차해소특별위원회 간사 -&nbsp;現) 제22대 국회 환경노동위원회 위원 -&nbsp;現) 국민의힘 기후위기대응특별위원회 간사 -&nbsp;現) 국민의힘 에너지특별위원회 위원 -&nbsp;現) 국민의힘 원내부대표 - 現)&nbsp;사단법인 한국신재생에너지학회 부회장 - 前) 재단법인 기후변화센터 사무총장 - 前) 대통령 직속 2050탄소중립녹색성장위원회 위원 -&nbsp;前) 대통령 직속 국가균형발전위원회 정책사업 평가위원 - 前) 외교부 장관 정책자문위원 - 前) 산업통상자원부 에너지위원회 위원
