naas_cd,naas_nm,naas_ch_nm,naas_en_nm,birth_dt,party,district,district_type,committee,belonging_committee,election_type,gender,phone,email,website,office,photo_url,bio,era
10V43435,구중회,具中會,,1898-04-21,무소속,경남 창녕,지역구,,,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/10V43435.jpg,,제헌
M3D9071M,구창림,具昌林,Ku Chang-rim,1941-08-15,민주자유당,,전국구,,"통일외무위원회, 예산결산특별위원회, 외무통일위원회, 국제경쟁력강화및경제제도개혁에관한특별위원회, 교육위원회, 경제과학위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/M3D9071M.jpg,,제14대
3VF81352,구천서,具天書,"Koo, Cheon-seo",1950-02-28,민주자유당/자유민주연합,충북 청주시상당구,전국구/지역구,,"예산결산특별위원회, 교육위원회, 국회운영위원회, 노동위원회/건설교통위원회, 여성특별위원회, 환경노동위원회, 문화관광위원회, 산업자원위원회, 정보위원회, 정치개혁입법특별위원회, 국회운영위원회, 예산결산특별위원회, 윤리특별위원회, 통상산업위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/3VF81352.jpg,,"제14대, 제15대"
D2Y1484N,구철회,具喆會,,1915-07-26,민주당,경기 용인,지역구,,"국방위원회, 국회운영위원회, 교통체신위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/D2Y1484N.jpg,,제4대
S903593H,구태회,具泰會,,1923-06-24,자유당/민주공화당/민주공화당/민주공화당/유신정우회/민주공화당,"경남 진양/경남 진주,진양/경남 진주,진양/경남 진주,진양/경남 진주,삼천포시,진양,사천군",지역구/지역구/지역구/지역구/통일주체국민회의/지역구,,"재정경제위원회/외무위원회, 재정경제위원회/건설위원회, 교통체신위원회, 외자도입특별국정감사특별위원회, 상공위원회, 예산결산특별위원회, 재정경제위원회, 국방위원회/보건사회위원회, 재무위원회, 문교공보위원회/경제과학위원회, 건설위원회/법제사법위원회",6선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/S903593H.jpg,,"제4대, 제6대, 제7대, 제8대, 제9대, 제10대"
JYI19502,구흥남,具興南,,1914-05-20,자유당/자유당,전남 화순군/전남 화순,지역구/지역구,,교통체신위원회,재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/JYI19502.jpg,,"제3대, 제4대"
NSK21294,국종남,鞠鍾男,"Cook, Chong-nam",1937-05-08,민주당,,전국구,,"국회운영위원회, 문화체육공보위원회, 문화공보위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/NSK21294.jpg,,제14대
87M90165,국창근,鞠창根,"Kook, Chang-keun",1939-01-31,새정치국민회의,전남 담양.장성군,지역구,,"문화관광위원회, 법제사법위원회, 예산결산특별위원회, 정무위원회, 농림해양수산위원회, 건설교통위원회, 국회운영위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/87M90165.jpg,,제15대
E6X6144N,국쾌남,鞠快男,,1922-03-16,자유당,전남 담양,지역구,,"재정경제위원회, 상공위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/E6X6144N.jpg,,제4대
BEX4329B,권갑주,權甲周,,1929-06-09,유신정우회,,통일주체국민회의,,"건설위원회, 예산결산특별위원회, 경제과학위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/BEX4329B.jpg,,제9대
1MB8686B,권경석,權炅錫,KWON Kyung Seok,1946-01-02,한나라당/한나라당,경상남도 창원시갑/경남 창원시갑,지역구/지역구,,"중앙선거관리위원회위원(유승삼,제갈융우)선출에관한인사청문특별위원회, 투자활성화및일자리창출을위한특별위, 행정자치위원회, 지방행정체제개편특별위원회, 신행정수도의건설을위한특별조치법위헌결정후속대책및지역균형발전특별위원회, 정치개혁특별위원회, 국방위원회, 예산결산특별위원회/민생대책특별위원회, 기획재정위원회, 중앙선거관리위원회위원(이한구)선출에 관한 인사청문특별위원회, 국무총리(정운찬)임명동의에 관한 인사청문특별위원회, 지방행정체제개편특별위원회, 정치개혁특별위원회, 쌀소득 보전 직접지불금 불법수령사건 실태규명을 위한 국정조사특별위원회, 국가균형발전 및 행정중심복합도시대책특별위원회, 예산결산특별위원회, 행정안전위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/1MB8686B.jpg,,"제17대, 제18대"
WJC7553A,권기술,權琪述,"Kwon, Ki-sool",1938-04-01,통합민주당/한나라당,경남 울산시울주구/울산광역시 울주군,지역구/지역구,,"농어민및도시영세민대책특별위원회, 국회운영위원회, 예산결산특별위원회, 국제경쟁력강화및경제제도개혁에관한특별위원회, 건설교통위원회, 재정경제위원회/미래전략특별위원회, 기후변화협약대책특별위원회, 농림해양수산위원회, 정치개혁특별위원회, 건설교통위원회, 국회운영위원회, 예산결산특별위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/WJC7553A.jpg,,"제15대, 제16대"
T1Z9579M,권노갑,權魯甲,"Kwon, Roh-kap",1930-02-18,평화민주당/민주당/새정치국민회의,전남 목포시/전남 목포시,지역구/지역구/전국구,,"예산결산특별위원회, 국방위원회/행정위원회, 문화체육공보위원회, 행정경제위원회, 내무위원회, 정보위원회, 국방위원회/국방위원회, 정보위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/T1Z9579M.jpg,,"제13대, 제14대, 제15대"
9691217U,권달수,權達洙,Kwon Dal-su,1936-12-30,민주정의당,"경기 송탄,평택시",지역구,,"내무위원회, 국회운영위원회, 노동위원회, 예산결산특별위원회, 교통체신위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/9691217U.jpg,,제13대
QIP4141M,권동철,權東哲,,1916-01-01,무소속,경북 2부,지역구,,,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/QIP4141M.jpg,,제5대
E9R4507P,권명호,權明浩,KWON MYUNGHO,1961-01-10,미래통합당,울산 동구,지역구,,,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/E9R4507P.jpg,[ 학 력 ] - 방어진초등학교 졸업 - 방어진중학교 졸업 - 학성고등학교 졸업 - 울산대학교(전공:영어영문학과)졸업 - 울산대학교 정책대학원(전공:공공정책전공)졸업 [ 약 력 ] - 21대 국회의원(울산 동구 / 국민의힘) - 現 산업통상자원중소벤처기업위원회 위원 - 現 국민의힘 원내부대표 - 現 국민의힘 중소기업위원회 부위원장 - 現 국민의힘 약자와의 동행 위원회 정책동행분과 위원 - 現 국민의힘 소상공인 살리기 특별위원회 위원 - 前 제7대 울산 동구청장 - 前 울산광역시의회 부의장 - 前 울산광역시 동구의회 의장,제21대
RH454994,권미혁,權美赫,KWON MIHYUK,1959-01-10,더불어민주당,비례대표,지역구,,"예산결산특별위원회, 정치개혁 특별위원회, 국회운영위원회, 윤리특별위원회, 행정안전위원회, 헌법개정 특별위원회, 대법관(박정화·조재연) 임명동의에 관한 인사청문특별위원회, 저출산·고령화대책 특별위원회, 보건복지위원회, 여성가족위원회",초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/RH454994.jpg,,제20대
KB12672B,권병노,權炳魯,,1903-05-14,대한독립촉성국민회/일민국락부,경북 의성을/경북 의성을,지역구/지역구,,"내무위원회, 외무위원회, 국회운영위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/KB12672B.jpg,,"제헌, 제2대"
49282263,권복인,權福仁,,1911-08-29,자유당,충북 옥천군,지역구,,"재정경제위원회, 상공위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/49282263.jpg,,제4대
O149331C,권석창,權錫昌,KWON SOKCHANG,1966-08-06,새누리당,충북 제천시단양군,지역구,,"재난안전 대책 특별위원회, 헌법재판소장(이진성) 임명동의에 관한 인사청문특별위원회, 국회운영위원회, 농림축산식품해양수산위원회, 예산결산특별위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/O149331C.jpg,,제20대
SOB8871D,권선택,權善宅,Kwon Sun-Taik,1955-12-01,열린우리당/자유선진당,대전광역시 중구/대전 중구,지역구/지역구,,"국제경기대회지원특별위원회, 방송통신특별위원회, 독도수호및역사왜곡대책특별위원회, 산업자원위원회, 장애인특별위원회, 국회운영위원회, 과학기술정보통신위원회, 예산결산특별위원회, 국회상임위원회위원정수에관한규칙개정특별위원회, 국무총리(이해찬)임명동의에관한인사청문특별위원회/기후변화대응·녹색성장특별위원회, 국토해양위원회, 예산결산특별위원회, 국회운영위원회, 정보위원회, 환경노동위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/SOB8871D.jpg,,"제17대, 제18대"
FPB3364E,권성기,權聖基,,1908-08-24,민주공화당/민주공화당,"경북 봉화/경북 영양,영주,봉화군",지역구/지역구,,"농림위원회/예산결산특별위원회, 상공위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/FPB3364E.jpg,,"제8대, 제9대"
GDG1847Z,권성동,權性東,KWEON SEONGDONG,1960-04-29,한나라당/새누리당/새누리당/무소속/국민의힘,강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시/강원 강릉시,지역구/지역구/지역구/지역구/지역구,보건복지위원회,보건복지위원회,5선,남,02-784-3396~8 / 788-2469,ksdd22@naver.com,https://web.facebook.com/ksdd22,의원회관 820호,https://www.assembly.go.kr/static/portal/img/openassm/new/af3b64d8d85b45dcbccefb6646589be9.png,중앙국민학교 졸업 경포중학교 졸업 강릉명륜고등학교 졸업 중앙대학교 법학과 졸업 제27회 사법시험 합격 제17기 사법연수원 수료 해군 중위 전역 (전) 인천지검 특수부 부장검사 (전) 대통령실 법무비서관 (전) 새누리당 사무총장 (전) 국회 법제사법위원회 위원장 (전) 국회 운영위원회 위원장 (전) 국민의힘 사무총장 (전) 국민의힘 원내대표 (현) 강원도 국회의원협의회 회장 (현) 제 18~21대 강릉시 국회의원,"제18대, 제19대, 제20대, 제21대, 제22대"
RHV3779X,권수창,權秀昌,"Kwon, Soo-chang",1943-01-17,자유민주연합,경기 안양시만안구,지역구,,"제도개선특별위원회, 재해대책특별위원회, 내무위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/RHV3779X.jpg,,제15대
3TF1550T,권영길,權永吉,Kwon Young Ghil,1941-11-05,민주노동당/민주노동당,경상남도 창원시을/경남 창원시을,지역구/지역구,,"국회운영위원회, 중국의고구려사왜곡대책특별위원회, 남북관계발전특별위원회, 통일외교통상위원회, 이라크내테러집단에의한한국인피살사건관련진상조사특별위원회/국회운영위원회, 예산결산특별위원회, 정치개혁특별위원회, 남북관계발전특별위원회, 교육과학기술위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/3TF1550T.jpg,,"제17대, 제18대"
LG63087O,권영세,權寧世,KWON YOUNGSE,1959-02-24,한나라당/한나라당/한나라당/미래통합당/국민의힘,서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 용산구/서울 용산구,지역구/지역구/지역구/지역구/지역구,"정보위원회, 기획재정위원회","정보위원회, 기획재정위원회",5선,남,02-784-3103,yskys2020@naver.com,https://blog.naver.com/yskys2020,의원회관 450호,https://www.assembly.go.kr/static/portal/img/openassm/new/f58fcbb4b2f64d05a335da7099f679e7.jpg,전)국민의힘 비상대책위원장 전)통일부장관 전)주중대사 전)국회 정보위원장 서울대학교 법학과 및 동 대학원 졸업(법학석사) 미 하버드 케네디스쿨 졸업(행정학석사),"제16대, 제17대, 제18대, 제21대, 제22대"
4CU3481W,권영우,權寧禹,"Kwon, Young-woo",1942-03-01,민주정의당/민주정의당,서울 동대문구/서울 동대문구,지역구/지역구,,"제24회서울올림픽대회지원특별위원회, 건설위원회/건설위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/4CU3481W.jpg,,"제11대, 제12대"
VZY4811C,권영자,權英子,"Kwon, Young-ja",1937-03-03,신한국당,,전국구,,"정무위원회, 예산결산특별위원회, 여성특별위원회, 행정위원회",초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/VZY4811C.jpg,,제15대
LYY5513O,권영진,權泳臻,KWON YOUNGJIN,1962-12-10,한나라당/국민의힘,서울 노원구을/대구 달서구병,지역구/지역구,"국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회","국토교통위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",재선,남,02-784-3136,kyjtongil@naver.com,https://blog.naver.com/mywaykyj,의원회관 713호,https://www.assembly.go.kr/static/portal/img/openassm/new/3d91cfa36267481a8f860816e419f426.png,<학력> - 고려대학교 대학원 정치학 석&middot;박사 - 고려대학교 영어영문학 학사 - 청구고등학교 졸업 <경력> 현) 제22대 국회 국토교통위원회 간사 현) 제22대 국회 운영위원회 위원 현) 제22대 국회의원 (대구 달서구병) 전) 제13대 대한민국시도지사협의회 회장 전) 제33&middot;34대 대구광역시 시장 전) 제18대 국회의원 (서울 노원구을) 전) 서울특별시 정무부시장,"제18대, 제22대"
F482953I,권오병,權五柄,,1918-06-30,민주공화당,,전국구,,"경제의안정과성장에관한긴급명령심사특별위원회, 건설위원회, 국방위원회, 법제사법위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/F482953I.jpg,,제8대
BXN8084E,권오석,權五錫,"Kwon, O-seok",1923-04-03,민주공화당/민주자유당,경기 화성,지역구/전국구,,"상공위원회/교육체육청소년위원회, 문교체육위원회, 문교공보위원회, 재무위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/BXN8084E.jpg,,"제6대, 제13대"
3OA12807,권오을,權五乙,"Kwon, Oh-eul",1957-03-17,통합민주당/한나라당/한나라당,경북 안동갑/경상북도 안동시/경상북도 안동시,지역구/지역구/지역구,,"법제사법위원회, 정치개혁입법특별위원회, 농어민및도시영세민대책특별위원회, 예산결산특별위원회, 농림해양수산위원회, 제15대국회의원총선거에있어서공정성시비국정조사특별위원회, 국회운영위원회, 농림수산위원회/교육위원회, 문화관광위원회, 미래전략특별위원회, 공적자금의운용실태규명을위한국정조사특별위원회, 농림해양수산위원회, 예산결산특별위원회/농림해양수산위원회, 정치개혁특별위원회, 대법관(김영란)임명동의에관한인사청문특별위원회, 행정자치위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/3OA12807.jpg,,"제15대, 제16대, 제17대"
8MI34542,권오종,權五鍾,,1900-06-16,국민회/민주당,경북 안동갑/경북 안동갑,지역구/지역구,,"교통체신위원회, 국회운영위원회, 상공위원회/태풍재해대책특별위원회, 교통체신위원회, 국회운영위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/8MI34542.jpg,,"제3대, 제4대"
WL55319G,권오태,權五台,"Kwon, Oh-tae",1927-01-15,무소속/무소속/신한민주당,"경북 포항시,영일,영천,울릉군/경북 포항시,영일,영천,울릉군/경북 영천시,군,경산",지역구/지역구/지역구,,"예산결산특별위원회, 국회운영위원회, 내무위원회/건설위원회, 국회운영위원회, 국회상임위원회위원정수에관한규칙개정특별위원회/국방위원회, 헌법개정특별위원회, 재무위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/WL55319G.jpg,,"제9대, 제10대, 제12대"
23R8195M,권오훈,權五勳,,1916-10-23,민주공화당,경북 안동,지역구,,농림위원회,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/23R8195M.jpg,,제6대
O5M9949M,권오훈,權五勳,,1911-00-00,무소속,경북 달성,지역구,,교통체신위원회,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/O5M9949M.jpg,,제2대
YKW37422,권은희,權垠希,KWON EUNHEE,1974-02-15,새정치민주연합/국민의당/국민의당,광주 광산구을/광주 광산구을/비례대표,지역구/지역구/비례대표,,,3선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/YKW37422.jpg,"1993년 조선대 부속여고 졸업 1997년 전남대 사법학과 졸업 연세대 대학원 법학 석사 졸업 2001년 사법고시 합격(43회) 2004년 사법연수원 수료(33기) 2004년 권은희 법률사무소 개업 2005년 경찰청 경정 특채 합격 2005년 용인경찰서 수사과장 2006년 경찰청 법무과 근무(경정) 2007년 서초경찰서 수사과장, 수서경찰서 수사과장 2013년 송파경찰서 수사과장 2014년 관악경찰서 여성청소년과장 (전) 국회 국민안전혁신특위 위원 (전) 19대 국회의원 광주 광산(을) (전) 국회 국방위원회 위원&middot;간사 (전) 국회 운영위원회 위원 (전) 새정치민주연합 원내 법률부대표 (전) 새정치민주연합 원내대표 비서실장 (전) 국민의당 비상대책위원회 위원 (전) 국민의당 정책위원회 수석부의장 (전) 국민의당 제1정책조정위원장 (전) 안전행정위원회 간사 (전) 국민의당 원내수석부대표 (전) 국민의당 광주광역시당 위원장 (전) 20대 국회의원 광주 광산(을) (전) 운영위원회 간사 (전) 바른미래당 광주광역시당위원장 (전) 바른미래당 최고위원 (전) 바른미래당 정책위의장 (전) 행정안전위원회 법안심사소위원회 위원장 (전) 예산결산특별위원회 위원&middot;간사 (전) 사법개혁특별위원회 위원&middot;간사 (전) 행정안전위원회 간사 (전) 행정안전위원회 제천화재관련평가소위원회 위원장 (전) 국민의당 창당준비위원회 부위원장 (전) 국민의당 최고위원 (전) 국민의당 원내대표 (현) 21대 국회의원 (국민의힘, 비례대표, 3선)","제19대, 제20대, 제21대"
PFM7673W,권은희,權恩嬉,KWON Eun Hee,1959-05-24,새누리당,대구 북구갑,지역구,,"국회운영위원회, 예산결산특별위원회, 평창동계올림픽 및 국제경기대회지원 특별위원회, 미래창조과학방송통신위원회, 산업통상자원위원회, 대법관(김소영)임명동의에 관한 인사청문특별위원회, 국회쇄신 특별위원회, 지식경제위원회",초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/PFM7673W.jpg,,제19대
OUK2820Z,권익현,權翊鉉,"Kwon, Ik-hyun",1934-02-17,민주정의당/민주정의당/민주자유당/신한국당,"경남 산청,함양,거창군/경남 산청,함양,거창군/경남 산청,함양",지역구/지역구/전국구/지역구,,"외무위원회, 국방위원회, 예산결산특별위원회, 농수산위원회/국방위원회/보건복지위원회, 국방위원회/통일외교통상위원회, 통일외무위원회",4선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/OUK2820Z.jpg,,"제11대, 제12대, 제14대, 제15대"
3TO11703,권인숙,權仁淑,KWON INSOOK,1964-08-28,더불어시민당,비례대표,비례대표,,,초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/3TO11703.jpg,□ 現 제21대 국회의원 (비례대표/더불어민주당) 제21대 국회 여성가족위원회 위원장 (2022.7~ ) 제21대 국회 행정안전위원회 위원 (2023.6~ ) 국회 여성아동인권포럼 대표 (2020.6 ~ 현재) □ 前 제21대 국회 법제사법위원회 위원 (2022.7~ 2023.6) 제21대 국회 여성가족위원회 간사 (2020.6 ~ 2022.6) 제21대 국회 교육위원회 위원 (2020.6 ~ 2022.6) 더불어민주당 정책위원회 제7정책조정위원장 (2022.3 ~ 2022.8) 더불어민주당 서울시 광역의원 비례대표후보자추천관리위원회위원장 (2022.3 ~ 2022.6) 더불어민주당 윤리심판원 위원 (2020.10. ~ 2021.1) 더불어민주당 젠더폭력신고상담센터장 (2021.6 ~ 2021.11) 더불어민주당 인권위원회 위원장 (2020.9 ~ 2021.6) 민주연구원 부원장 (2020.9 ~ 2021.6) 한국여성정책연구원 원장 (2017.9 ~ 2020.3) 명지대학교 방목기초교육대학 교수 (2003.9 ~ 2020.5),제21대
8Y78316C,권일,權逸,,1911-08-22,민주공화당/유신정우회,,전국구/통일주체국민회의,,"건설위원회, 상공위원회, 외무위원회/법제사법위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/8Y78316C.jpg,,"제8대, 제9대"
LO357547,권정달,權正達,"Kwon, Jong-dal",1936-06-14,민주정의당/민주정의당/무소속,"경북 안동시,의성,안동군/경북 안동.의성시/경북 안동을",지역구/지역구/지역구,,"내무위원회, 외무위원회/외무위원회, 상공위원회, 내무위원회/예산결산특별위원회, 2002년월드컵등국제경기대회지원특별위원회, 정보위원회, 국방위원회, 문화관광위원회, 문화체육공보위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/LO357547.jpg,,"제11대, 제12대, 제15대"
L7X5327D,권중돈,權仲敦,,1912-11-17,무소속/무소속/민주당/민주당/신민당,경북 영천군갑/경북 영천군을/경북 영천군을/경북 영천군을/서울 종로구,지역구/지역구/지역구/지역구/지역구,,"상공위원회/내무위원회, 교통체신위원회, 상공위원회, 보건사회위원회/태풍재해대책특별위원회, 국방위원회/외무위원회/외무위원회, 농림위원회",5선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/L7X5327D.jpg,,"제2대, 제3대, 제4대, 제5대, 제8대"
4SK30918,권중동,權重東,"Kwon, Joong-dong",1932-09-10,유신정우회/민주정의당,,통일주체국민회의/전국구,,"예산결산특별위원회, 보건사회위원회/예산결산특별위원회, 보건사회위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/4SK30918.jpg,,"제9대, 제12대"
K4669042,권철현,權哲賢,"Kwon, Chul-hyun",1947-01-02,신한국당/한나라당/한나라당,부산 사상구갑/부산광역시 사상구/부산광역시 사상구,지역구/지역구/지역구,,"경제구조개혁및실업대책특별위원회, 국제경쟁력강화및경제제도개혁에관한특별위원회, 국회운영위원회, 예산결산특별위원회, 환경노동위원회/국방위원회, 산업자원위원회, 통일외교통상위원회, 환경노동위원회, 교육위원회/법제사법위원회, 농림해양수산위원회, 교육위원회, 정보위원회",3선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/K4669042.jpg,,"제15대, 제16대, 제17대"
C7E79345,권칠승,權七勝,KWON CHILSEUNG,1965-11-18,더불어민주당/더불어민주당/더불어민주당,경기 화성시병/경기 화성시병/경기 화성시병,지역구/지역구/지역구,행정안전위원회,행정안전위원회,3선,남,02-784-1250,anotherk7@gmail.com,http://blog.naver.com/k7wins,의원회관 325호,https://www.assembly.go.kr/static/portal/img/openassm/new/732a1459c8554b999d8c248d703d8fa2.png,"■ 학력 - 경북고등학교 졸업 - 고려대학교 경제학과 졸업 ■ 주요 약력 (현) 더불어민주당 중소기업특별위원장 (현) 더불어민주당 국가경제자문회의 수석부의장 (전) 독립기념관 비상임이사 (전) 더불어민주당 수석대변인 (전) 법제사법위원회 간사 (전) 제3대 중소벤처기업부 장관 (전) 더불어민주당 수석사무부총장 (전) 더불어민주당 홍보소통위원장 (전) 더불어민주당 원내부대표 (전) 더불어민주당 정책위원회 상임부의장 (전) 경기도의원(제8 &middot; 9대, 예산결산특별위원장) (전) 노무현 대통령비서실 행정관 (전) 김대중 대통령후보 대선기획단 (전) 삼성그룹 (공채28기)","제20대, 제21대, 제22대"
99O5119D,권태망,權泰望,Kwon Tae-mang,1953-10-27,한나라당,부산광역시 연제구,지역구,,"재해대책특별위원회, 윤리특별위원회, 국회운영위원회, 중앙선거관리위원회위원선출에관한인사청문특별위원회, 최근일련의언론사태진상규명을위한국정조사특별위원회, 2010년세계박람회유치특별위원회, 보훈특별위원회, 정무위원회, 행정자치위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/99O5119D.jpg,,제16대
TQQ62610,권태욱,權泰郁,,1910-10-15,무소속/무소속,경남 마산/경남 마산,지역구/지역구,,"교통체신위원회, 법제사법위원회/재정경제위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/TQQ62610.jpg,,"제헌, 제2대"
CW38252I,권태희,權泰羲,,1907-04-02,무소속,경북 김천갑,지역구,,,초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/CW38252I.jpg,,제헌
6GI61964,권택기,權宅起,KWON TEAG KY,1965-07-27,한나라당,서울 광진구갑,지역구,,"민생대책특별위원회, 국무총리(김태호) 임명동의에 관한 인사청문특별위원회, 예산결산특별위원회, 정무위원회, 미국산쇠고기수입위생조건개정관련한·미기술협의의과정등실태규명국정조사특별위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/6GI61964.jpg,,제18대
O3I2054Z,권해옥,權海玉,"Kwon, Hae-ok",1935-08-15,민주정의당/민주자유당,경남 합천/경남 합천,지역구/지역구,,"경제과학위원회, 예산결산특별위원회, 외무통일위원회, 내무위원회, 행정위원회, 문화공보위원회, 국회운영위원회, 5.18광주민주화운동진상조사특별위원회, 농림수산위원회/법제사법위원회, 통신과학기술위원회, 윤리특별위원회, 내무위원회, 국회운영위원회, 체신과학기술위원회, 농림수산위원회",재선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/O3I2054Z.jpg,,"제13대, 제14대"
EFU76868,권향엽,權香葉,KWON HYANGYUP,1968-02-12,더불어민주당,전남 순천시광양시곡성군구례군을,지역구,"산업통상자원중소벤처기업위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회","산업통상자원중소벤처기업위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회",초선,여,02-784-1270,"ironkwon24@gmail.com (회관), ironregion24@gmail.com (지역)",https://blog.naver.com/khy2955,의원회관 832호,https://www.assembly.go.kr/static/portal/img/openassm/new/e25ff63bda9c446c81919549ba09c6c6.jpg,현) 제22대 국회의원 (전남 순천시&middot;광양시&middot;곡성군&middot;구례군 을 / 더불어민주당) 제22대 국회 전반기 산업통상자원중소벤처기업위원회위원 전) 2020.6.~ 2022.5. 국회부의장 비서실장 2019.5. ~ 2020.1. 대통령비서실 인사수석실 균형인사비서관 2023.02. ~ 2023.12. 더불어민주당 여성리더십센터 소장 2017.8 ~ 2019.5. 더불어민주당 여성국 국장 2016.3.~ 2018.7. 더불어민주당 중앙위원회 중앙위원 2017.2. ~ 2017.8. 더불어민주당 디지털미디어국 국장 2013.6. ~ 2014.10. 민주정책연구원 민주아카데미 실장 1995.10. ~ 2002.7. 새정치국민회의 중앙당 여성국 기획부장,제22대
W321567U,권헌성,權憲成,Kwon Hun-sung,1958-08-29,통일민주당,,전국구,,"상공위원회, 예산결산특별위원회, 외무통일위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/W321567U.jpg,,제13대
39S6394N,권효섭,權孝燮,,1925-05-01,유신정우회,,통일주체국민회의,,"법제사법위원회, 농수산위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/39S6394N.jpg,,제9대
MGI63636,금진호,琴震鎬,"Kum, Jin-ho",1932-01-20,민주자유당,경북 영주시 영풍,지역구,,"환경노동위원회, 내무위원회, 통상산업위원회, 상공자원위원회, 재무위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/MGI63636.jpg,,제14대
QZR19240,금태섭,琴泰燮,KEUM TAESUP,1967-09-29,더불어민주당,서울 강서구갑,지역구,,"대법관(노태악) 임명동의에 관한 인사청문특별위원회, 윤리특별위원회, 공공부문 채용비리 의혹과 관련된 국정조사특별위원회, 농림축산식품해양수산위원회, 대법관(김선수·노정희·이동원) 임명동의에 관한 인사청문특별위원회, 국회운영위원회, 감사원장(최재형) 임명동의에 관한 인사청문특별위원회, 헌법재판소장(김이수) 임명동의에 관한 인사청문특별위원회, 저출산·고령화대책 특별위원회, 예산결산특별위원회, 가습기살균제 사고 진상규명과 피해구제 및 재발방지 대책마련을 위한 국정조사특별위원회, 법제사법위원회, 여성가족위원회",초선,남,,,,,https://www.assembly.go.kr/static/portal/img/openassm/QZR19240.jpg,,제20대
